intersection_id,cyclist_casualties,LATITUDE,LONGITUDE,cyclist_deaths,cyclist_injuries,CRASH_DATETIME,BOROUGH,zip_code
40.6539_-74.0082,1,40.653873,-74.008156,0,1,2018-08-25 18:00:00,BROOKLYN,11232
40.651_-73.9457,1,40.651005,-73.94571,0,1,2018-08-22 17:40:00,BROOKLYN,11203
40.709_-73.9223,1,40.709003,-73.92234,0,1,2018-08-24 06:30:00,BROOKLYN,11237
40.6061_-73.9656,1,40.60612,-73.96565,0,1,2018-08-19 21:07:00,BROOKLYN,11223
40.7241_-73.951,1,40.7241,-73.95099,0,1,2018-08-25 00:25:00,BROOKLYN,11222
40.6988_-73.9533,1,40.698837,-73.95327,0,1,2018-08-25 03:30:00,BROOKLYN,11205
40.6061_-74.0074,1,40.606102,-74.00744,0,1,2018-08-23 07:05:00,BROOKLYN,11214
40.6805_-73.9522,1,40.680534,-73.952156,0,1,2018-08-19 22:40:00,BROOKLYN,11216
40.5993_-73.9523,1,40.599293,-73.952286,0,1,2018-08-19 12:07:00,BROOKLYN,11229
40.6503_-73.9662,1,40.650295,-73.966156,0,1,2018-08-20 15:43:00,BROOKLYN,11226
40.5834_-73.9865,1,40.58342,-73.98648,0,1,2018-08-23 14:30:00,BROOKLYN,11214
40.7007_-73.9531,1,40.700733,-73.95307,0,1,2018-08-19 17:30:00,BROOKLYN,11206
40.5911_-73.9651,1,40.591106,-73.96513,0,1,2018-08-22 07:14:00,BROOKLYN,11235
40.6072_-73.9873,1,40.607243,-73.98726,0,1,2018-08-20 00:00:00,BROOKLYN,11204
40.636_-73.9125,1,40.636005,-73.91251,0,1,2018-08-21 13:00:00,BROOKLYN,11236
40.6435_-74.0228,1,40.643467,-74.02277,0,1,2018-08-21 21:30:00,BROOKLYN,11220
40.7011_-73.9224,1,40.701103,-73.92239,0,1,2018-08-19 18:37:00,BROOKLYN,11237
40.6372_-73.9327,1,40.637215,-73.93274,0,1,2018-08-25 12:00:00,BROOKLYN,11203
40.6821_-73.9143,1,40.68214,-73.91433,0,1,2018-08-24 19:00:00,BROOKLYN,11233
40.5873_-73.9394,1,40.587307,-73.93938,0,1,2018-08-22 16:09:00,BROOKLYN,11235
40.7028_-73.9455,1,40.70276,-73.94546,0,1,2018-08-24 12:00:00,BROOKLYN,11206
40.585_-73.9322,1,40.584984,-73.932205,0,1,2018-08-19 18:39:00,BROOKLYN,11235
40.6913_-73.987,1,40.69134,-73.987045,0,1,2018-08-21 13:30:00,BROOKLYN,11201
40.6107_-73.9792,1,40.61074,-73.97919,0,1,2018-08-19 02:30:00,BROOKLYN,11204
40.6852_-73.9205,1,40.685184,-73.920456,0,1,2018-08-24 18:58:00,BROOKLYN,11233
40.6851_-73.9779,1,40.685074,-73.9779,0,1,2018-08-22 12:20:00,BROOKLYN,11217
40.6814_-73.9078,1,40.681377,-73.90778,0,1,2018-08-23 17:05:00,BROOKLYN,11207
40.6321_-74.0024,1,40.632084,-74.00236,0,1,2018-08-21 23:30:00,BROOKLYN,11219
40.7096_-73.9589,1,40.70955,-73.95887,0,1,2018-08-24 21:00:00,BROOKLYN,11211
40.6433_-73.9783,1,40.64327,-73.97833,0,1,2018-08-21 01:50:00,BROOKLYN,11218
40.5967_-73.9853,1,40.596745,-73.985275,0,1,2018-08-21 15:45:00,BROOKLYN,11214
40.5854_-73.9664,1,40.585407,-73.96645,0,1,2018-08-25 21:30:00,BROOKLYN,11235
40.6926_-73.9409,1,40.692562,-73.94093,0,1,2018-08-20 16:40:00,BROOKLYN,11221
40.6432_-73.97,1,40.64322,-73.969955,0,1,2018-08-19 13:25:00,BROOKLYN,11218
40.6401_-73.9904,1,40.64014,-73.9904,0,1,2018-08-21 12:00:00,BROOKLYN,11219
40.6049_-73.9781,1,40.604916,-73.97809,0,1,2018-08-20 10:00:00,BROOKLYN,11223
40.6275_-73.8994,1,40.62754,-73.89942,0,1,2018-08-23 09:20:00,BROOKLYN,11236
40.6322_-73.995,1,40.63223,-73.99504,0,1,2018-08-25 19:30:00,BROOKLYN,11219
40.6624_-73.9652,1,40.662407,-73.96516,0,1,2018-08-24 19:54:00,BROOKLYN,11226
40.5783_-73.9584,1,40.57826,-73.95838,0,1,2018-08-21 19:55:00,BROOKLYN,11235
40.7011_-73.9404,1,40.701077,-73.94043,0,1,2018-08-20 12:15:00,BROOKLYN,11206
40.5837_-73.9424,1,40.58372,-73.94243,0,1,2018-08-21 17:55:00,BROOKLYN,11235
40.68_-73.978,1,40.68004,-73.978,0,1,2018-08-24 20:30:00,BROOKLYN,11217
40.6459_-73.9951,1,40.645947,-73.9951,0,1,2018-08-24 12:49:00,BROOKLYN,11232
40.6154_-73.9978,1,40.615433,-73.99775,0,1,2018-08-21 14:22:00,BROOKLYN,11204
40.6429_-73.8859,1,40.642906,-73.88588,0,1,2018-08-24 12:07:00,BROOKLYN,11236
40.7141_-73.9512,1,40.714058,-73.9512,0,1,2018-08-21 18:30:00,BROOKLYN,11211
40.6655_-73.9214,1,40.66549,-73.92137,0,1,2018-08-24 13:40:00,BROOKLYN,11212
40.6287_-74.0121,1,40.62868,-74.012146,0,1,2018-08-25 10:00:00,BROOKLYN,11219
40.6448_-73.96,1,40.64485,-73.96002,0,1,2018-08-21 22:04:00,BROOKLYN,11226
40.6253_-73.974,1,40.625286,-73.97399,0,1,2018-08-23 15:00:00,BROOKLYN,11230
40.6764_-73.9805,1,40.67641,-73.98047,0,1,2018-08-25 19:28:00,BROOKLYN,11215
40.708_-73.9399,1,40.708042,-73.93992,0,1,2018-08-22 00:00:00,BROOKLYN,11206
40.5901_-73.9742,1,40.59011,-73.97422,0,1,2018-08-21 21:40:00,BROOKLYN,11223
40.7206_-73.9548,1,40.7206,-73.95476,0,1,2018-08-24 19:05:00,BROOKLYN,11222
40.6996_-73.9965,1,40.69961,-73.9965,0,1,2018-08-24 17:05:00,BROOKLYN,11201
40.682_-73.8779,1,40.682037,-73.87788,0,1,2018-08-21 17:46:00,BROOKLYN,11208
40.616_-73.9448,1,40.616043,-73.94484,0,1,2018-08-24 12:00:00,BROOKLYN,11229
40.5812_-73.9823,1,40.58123,-73.98232,0,1,2018-08-22 11:45:00,BROOKLYN,11224
40.6385_-74.01,1,40.638523,-74.01,0,1,2018-08-19 22:45:00,BROOKLYN,11220
